station,mae,rmse,n
VILLIERS,0.2662068284728423,0.5089897338865823,14884.0
PORTE DE CHAMPERRET,0.267212665668693,0.5037003762719445,14742.0
TOLBIAC,0.2686539086906899,0.4995478134858375,14884.0
LAUMIERE,0.27012700368288073,0.5237361020910551,14820.0
PORTE DE VANVES,0.27047432021370793,0.5250172226923252,14884.0
LA CHAPELLE,0.2714503573746597,0.5377705970218559,14904.0
COTEAUX ORGE T12,0.27185797547203283,0.40748905490391546,12446.0
DUGOMMIER,0.2748955805798904,0.49953377351112926,14884.0
MAIRIE D'AUBERVILLIERS,0.2753953954440446,0.5229411594668258,15588.0
MAIRIE DES LILAS,0.2755693290815316,0.4869221879470251,14842.0
CHOISY-LE-ROI,0.2756617980705388,0.506239852364265,14888.0
Les Portes de Saint-Cyr T13,0.2763524156655692,0.46058646851110574,12642.0
PARC DU CHAT T12,0.27657341166672067,0.42798183790572275,13034.0
PIERREFITTE T11,0.2771819472746415,0.48466954660486083,14784.0
TELEGRAPHE,0.277571377870692,0.5162764736822876,14693.0
PARMENTIER,0.2780200390545871,0.527040328750366,14228.0
ISSY GARE,0.2785315925958558,0.4931302893431066,12988.0
ALESIA,0.2796650495170618,0.5246288933093417,14779.0
GARIBALDI,0.2797002453307479,0.46072630250730606,14863.0
PLAISANCE,0.2799358791102205,0.5427022351513924,14821.0
MAIRIE DE CLICHY,0.28017671188442705,0.5011579293536007,14821.0
FAIDHERBE-CHALIGNY,0.28028003931843165,0.519493094030498,14763.0
RIQUET,0.2802873943887931,0.5026145460027307,14821.0
EPINAY VIL T11,0.2811717514810293,0.4832650490583954,14829.0
DRANCY,0.28177818719891295,0.5297080058205319,14734.0
COT. BEAUCLAIR,0.2820723693246311,0.42164369479860003,11840.0
MAIRIE DE SAINT-OUEN,0.28220848684321387,0.4922186390263378,14884.0
SAINT-MAUR,0.2823589710983707,0.5055498080512258,14164.0
GLACIERE,0.282548020649842,0.5478438224377734,14553.0
ARCUEIL-CACHAN,0.2826023257889588,0.5259977481060913,15488.0
DAUMESNIL,0.2829592964423524,0.5451846226616964,15388.0
STALINGRAD,0.2835942440119501,0.5457586842110238,16169.0
COLONEL FABIEN,0.28426735969121303,0.5490041347411713,14884.0
AVRON,0.2843730684278475,0.5117375294834667,14884.0
CONVENTION,0.2850717373278355,0.5538775672728435,14715.0
SIMPLON,0.2851131544605484,0.5390071876671858,14884.0
GRIGNY-CENTRE,0.2854829189437626,0.49772397592956774,14280.0
VOLTAIRE (LEON BLUM),0.28559789290132775,0.5493238191380518,14884.0
ALEXANDRE DUMAS,0.28569885745844853,0.5196160055630481,14884.0
PONT DE RUNGIS,0.28585733777884087,0.46785859230887433,13140.0
BASILIQUE DE SAINT-DENIS,0.28589684093981177,0.5323007901310685,14784.0
PLACE DES FETES,0.28662246596927654,0.532598586565001,14862.0
CHARONNE,0.2871330136418585,0.5340553244584206,14863.0
CHELLES-GOURNAY,0.2877622485005165,0.5194285439061166,15047.0
CHATEAU ROUGE,0.2888245998366854,0.5466218232232859,14884.0
PORTE DE CLIGNANCOURT,0.28936963140115035,0.4994661124296721,14873.0
LE KREMLIN-BICETRE,0.2909486040781948,0.5050477548085611,14884.0
GAMBETTA,0.2910858157581619,0.537223966629947,15388.0
BUZENVAL,0.29132132530411564,0.5452349237604438,14756.0
BELLEVILLE,0.2913974228267599,0.5596426774139611,15664.0
MARX DORMOY,0.29144224538875707,0.5308098599335594,14870.0
LA FOURCHE,0.29158798334846175,0.5470381011992644,14884.0
OLYMPIADES,0.29286525841334465,0.5307734771476623,14862.0
PONT CARDINET,0.29321221152183413,0.5426809546763129,15377.0
PORTE DE CHOISY,0.29412283051704086,0.5763976339316745,14884.0
MAIRIE ST-OUEN,0.2942345498699547,0.523590372907496,15388.0
BOUCICAUT,0.2947933242779428,0.5541923823874148,14862.0
EPINAY SUR ST11,0.2950541011287988,0.5566214942762032,14784.0
JOURDAIN,0.2956235103908324,0.5328079950907154,14608.0
NOISY-LE-SEC,0.2957649796609295,0.5409996617751274,14950.0
CORVISART,0.296302071698895,0.539970397145128,14715.0
BOIS-COLOMBES,0.2963260281096258,0.5321485130760515,14784.0
LES BACONNETS,0.2969063461625843,0.5292560342178462,14982.0
CROIX DE CHAVAUX (JACQUES DUCLOS),0.2974151117034594,0.5595473903543795,14863.0
MARAICHERS,0.29753913288374184,0.5727580889267724,14735.0
NATIONALE,0.29801346071558893,0.5592101010911561,14820.0
PERNETY,0.29834126694572305,0.5743098764001844,13974.0
MENILMONTANT,0.29845559396428495,0.5415867107584051,15388.0
LE RAINCY-VILLEMOMBLE-MONTFERMEIL,0.29869615123239385,0.5438656041317163,14884.0
BOURGET T11,0.2994939835743792,0.543607513423577,14841.0
PYRENEES,0.2994977254923626,0.5344295577961214,14713.0
LOUISE MICHEL,0.29954408138583527,0.5648569086514907,14490.0
PORTE-DE-CLICHY,0.29959930253014544,0.5405452013674792,13460.0
VAVIN,0.2997353345914734,0.5343594859987136,14884.0
Fourqueux - Bel Air T13,0.30008823504610055,0.5050722642168316,12250.0
ROME,0.3001717933948229,0.5599992141028192,14884.0
FERME NEUVE T12,0.30033064913499674,0.4487966795821551,13034.0
VIGNEUX-SUR-SEINE,0.30048936406912,0.5416308644552122,15027.0
JULES JOFFRIN,0.30106339986033276,0.5416337801629085,14355.0
JASMIN,0.30109636631734826,0.5723365093628361,14700.0
CLICHY ST-OUEN,0.30118726600151546,0.5348288117919303,15200.0
SENTIER,0.301402948455012,0.5508046389290997,14417.0
HOCHE,0.30146598740143205,0.5735150101816745,14841.0
CENSIER-DAUBENTON,0.301640752432812,0.5246758646516185,14784.0
BREGUET-SABIN,0.30227457242054584,0.5477148998845375,14884.0
RAMBUTEAU,0.30248431684642846,0.5047022115010554,15213.0
COURONNES,0.30405490999405915,0.535262365364201,14984.0
CERGY LE HAUT,0.30435001974405296,0.5392919995968717,15260.0
PORTE DE VINCENNES,0.3047463895673155,0.5625057886770168,15388.0
VAUGIRARD (ADOLPHE CHERIOU),0.3049205554155022,0.5700804376578413,14736.0
RENNES,0.3053661291870901,0.5441038401886096,14763.0
LEDRU-ROLLIN,0.3053987898575556,0.5575224996952665,14827.0
CRETEIL-UNIVERSITE,0.3057035610669829,0.5769412165333401,14884.0
PORT ROYAL,0.30573667320775494,0.6006237845794195,14383.0
FORT D'AUBERVILLIERS,0.30608211638955396,0.5406255347785242,14778.0
BOTZARIS,0.30624130485234446,0.5199967615002672,14721.0
PORTE DE CHARENTON,0.3074851807679193,0.5426220102199195,14763.0
MOUTON-DUVERNET,0.3082248375909363,0.5485645800896894,14884.0
PORTE DOREE,0.3086455134824792,0.5111438287812926,14884.0
LOURMEL,0.3094811960801507,0.5755249896118257,14884.0
PEREIRE-LEVALLOIS,0.3103640359648377,0.5719708743417315,15315.0
SEVRES-LECOURBE,0.31040086474797834,0.5659508198376381,14608.0
PORTE D'IVRY,0.31081744614115103,0.5559039802518924,14884.0
GABRIEL PERI-ASNIERES-GENNEVILLIERS,0.31083146205902534,0.5796336109288356,14037.0
CADET,0.3108681842110619,0.5480587514132191,14679.0
GAITE,0.3113935807181845,0.5612792820590469,14820.0
MAUBERT-MUTUALITE,0.31154930234708306,0.5281437287110121,14884.0
COLOMBES,0.312101564899247,0.5644895617627927,14884.0
CHATILLON-MONTROUGE,0.3122369406128964,0.5966774208188264,14884.0
MALAKOFF-PLATEAU DE VANVES,0.31238185947697317,0.5721977421387391,14884.0
ECOLE VETERINAIRE DE MAISONS-ALFORT,0.3124143817276636,0.5628942045835301,14884.0
ANTONY,0.31262083614563835,0.5649473413157512,14608.0
POISSONNIERE,0.3129931335192634,0.5814883200671003,14784.0
SEVRAN-BEAUDOTTES,0.3134887008490778,0.5951341124368733,14700.0
ARGENTEUIL,0.31349550299460105,0.5774516253007334,15501.0
SAINT-SEBASTIEN FROISSART,0.31352579292282395,0.5710311642964906,14679.0
GARE DU NORD,0.3137014491874847,0.5437300280073849,16887.0
RICHARD LENOIR,0.31412839425581984,0.598062513414182,14889.0
BEL-AIR,0.3142648706093402,0.599307901334054,14742.0
MAIRIE D'IVRY,0.31438384319140666,0.5792492025153783,15488.0
MASSY-PALAISEAU,0.3147303667276901,0.5644414755632579,15864.0
DENFERT-ROCHEREAU,0.31477087452381525,0.5598989392075622,16782.0
RUE DES BOULETS,0.3148542420681342,0.5746477483125878,14800.0
BOULAINVILLIERS,0.31501745404765014,0.573890070939197,12732.0
FUNICULAIRE,0.3153183409409515,0.4964702567489562,14763.0
LE STADE,0.31586973761216763,0.5222616900027157,14784.0
ANATOLE FRANCE,0.31600634362731733,0.6164400491856186,14679.0
SAINT-AMBROISE,0.31617535370569994,0.5812829152620524,14609.0
PORTE DE MONTREUIL,0.31694609746224356,0.5746857617799366,16125.0
LES GOBELINS,0.31701382681980306,0.5844334608113022,14884.0
CLICHY-LEVALLOIS,0.31729192773039583,0.6177141973132347,14885.0
PORTE DE BAGNOLET,0.31738001754178613,0.5786555918952068,15188.0
CORENTIN CARIOU,0.3175333601508937,0.5403964197093191,14778.0
CAMPO-FORMIO,0.31779760779946153,0.572059876306575,14532.0
GONCOURT (HOPITAL SAINT-LOUIS),0.31847483153759126,0.5740199315449531,15244.0
ARTS ET METIERS,0.31881779060359644,0.5678482953925095,14884.0
EVRY-COURCOURONNES,0.31890170361547493,0.5832611531785988,14743.0
OPERA,0.31917623101350767,0.5087703618402847,14884.0
PHILIPPE AUGUSTE,0.3192449467312485,0.5531289871484433,14884.0
MALESHERBES,0.3192673686401215,0.5901946077426686,14700.0
LE VERT-DE-MAISONS,0.3192799787511899,0.5454623125005369,14280.0
PORTE D'AUTEUIL,0.31986899987119405,0.5602977075144772,15522.0
TERNES,0.3199485748722924,0.5764892022181054,14679.0
MELUN GARE,0.3202305032299832,0.6086654071098188,16882.0
SAINT-JACQUES,0.320369801351831,0.5870975036926697,14574.0
NOTRE-DAME-DES-CHAMPS,0.32053423779576823,0.603422698977304,14842.0
LOUIS BLANC,0.32054663782400206,0.571058741720015,14884.0
SAINT-GERMAIN-DES-PRES,0.32058252737845677,0.5765645388036756,14863.0
DUROC,0.3207245713155855,0.6051041640307611,14863.0
JAURES,0.3209348153224887,0.5461901434400844,16215.0
ETIENNE-MARCEL,0.3211751475473734,0.5743494702269519,15245.0
DUPLEIX,0.3214060668471247,0.576478463860309,14694.0
HAVRE-CAUMARTIN,0.32149351599797305,0.5593712694046679,14874.0
JUVISY,0.3215038561046863,0.5716670964503663,16205.0
MAISONS-ALFORT-LES JUILLIOTTES,0.3220025633961666,0.5775471555745385,14884.0
Saint Denis Pleyel,0.3220589203493044,0.5155272579810557,12792.0
LES AGNETTES-ASNIERES-GENNEVILLIERS,0.32226611250040116,0.5781372251250216,14763.0
MICHEL BIZOT,0.322767311267497,0.6248899431463365,14784.0
REUILLY-DIDEROT,0.32289408408197134,0.5989401984663416,14884.0
VOLONTAIRES,0.32303806499185644,0.6139204231626628,14694.0
CORENTIN-CELTON,0.3230408601179783,0.5897048898759947,14616.0
VICTOR HUGO,0.32324723402503047,0.6272670989279906,14784.0
BONDY GARE,0.324429294011956,0.5699058489151281,14884.0
LAMARCK-CAULAINCOURT,0.3250897201326646,0.5524511912449235,14863.0
VILLIERS-LE-BEL-GONESSE-ARNOUVILLE,0.32534297510537286,0.6026745138191231,14393.0
PORTE DE SAINT-OUEN,0.3254991624797407,0.5674384674115783,14841.0
CITE UNIVERSITAIRE,0.3255018265227124,0.6346843494139569,15362.0
CRETEIL-PREFECTURE (HOTEL DE VILLE),0.32584439107418334,0.6014915310884025,14684.0
CHEVALERET,0.3262119376148753,0.6134401553975001,14799.0
CHEMIN VERT,0.3262609462639921,0.5769570205632092,14751.0
SEVRAN-LIVRY,0.3263243614264155,0.5783768896913899,14991.0
PORTE DAUPHINE,0.3268239778590094,0.5977607279353794,15488.0
MAIRIE DE MONTREUIL,0.32683860671936393,0.6198257037330437,15627.0
PASTEUR,0.32688975410178045,0.6179643232421623,15366.0
EDGAR QUINET,0.3270230486323189,0.5390606020502812,14637.0
QUAI DE LA GARE,0.3271407408578424,0.5194346575574283,14892.0
OURCQ,0.32814855628624057,0.5824681551741608,14884.0
RASPAIL,0.32848542545379744,0.5986852853635812,14863.0
ROBESPIERRE,0.3293510494033388,0.5658441245265139,14884.0
COMMERCE,0.3293776362797827,0.5910151193230112,14695.0
RUE DE LA POMPE (AVENUE GEORGES MANDEL),0.3295914539298863,0.6242119928125783,14884.0
LES COURTILLES,0.32973205886418316,0.5804622770073544,14903.0
GALLIENI (PARC DE BAGNOLET),0.32992107776818147,0.5837787423824806,15288.0
CARDINAL-LEMOINE,0.3299230347271792,0.5587307600743057,14884.0
CRETEIL-L'ECHAT (HOPITAL MONDOR),0.3301217996309805,0.6301682120724045,14911.0
STAINS CERISAIE,0.33016860826287814,0.572048528867099,14721.0
BAGNEUX,0.3309627187512553,0.6143356414347622,15466.0
BOULOGNE-JEAN JAURES,0.33156989676017623,0.5880882741693765,15084.0
VITRY-SUR-SEINE,0.3315927442727279,0.5677739294897822,14160.0
SAINT-PLACIDE,0.3316523935408095,0.6093392979918787,14736.0
CHARLES MICHELS,0.33167534494118833,0.5805362875330312,14700.0
LA COURNEUVE-AUBERVILLIERS,0.33206953772829395,0.6192386094243433,14863.0
PASSY,0.33221130042060276,0.5663745474537353,14715.0
A̩roport d'Orly,0.33240486030196853,0.4886221714687059,12691.0
ODEON,0.332693725504246,0.582722696146617,15466.0
LONGUEVILLE,0.33274330059545393,0.5367801275092552,11503.0
PLACE D'ITALIE,0.33304398891135534,0.5926569278119521,16771.0
TEMPLE,0.3330616346266033,0.5951385413819801,14251.0
SAINT-MAUR-CRETEIL,0.33311701256305554,0.623716971616724,15501.0
MAIRIE D'ISSY,0.3333456558995922,0.6011057003352825,14735.0
CHATELET-LES HALLES,0.3335766055811303,0.614649432232839,16896.0
BRUNOY,0.3338994812275994,0.5958323264409243,14851.0
SAINT-MANDE-TOURELLE,0.3344477559809547,0.6219222228795894,14884.0
LOUVRE-RIVOLI,0.3347266358532566,0.6027902719567313,14713.0
CHARENTON-ECOLES,0.33505299553000173,0.5851888343904961,15388.0
PERE LACHAISE,0.3351634708361796,0.6353124963613438,15612.0
MEAUX GARE,0.3354627598817381,0.5859568971342622,15457.0
PORTE MAILLOT,0.3357068823238105,0.5811440286354728,16082.0
SEVRES-BABYLONE,0.3357145328209734,0.5735835172711081,14870.0
CRETEIL-P. LAC,0.335823920272144,0.6167954863708478,14700.0
COURBEVOIE,0.33606220576358564,0.5832055012071454,14080.0
AUSTERLITZ,0.336182045543652,0.5538263414639437,15492.0
ROSNY-SOUS-BOIS,0.3362809681289594,0.6256106023100979,14723.0
AUBER,0.3362968926742885,0.5427955819044271,15615.0
LE PELETIER,0.3366848847181848,0.5804013842028642,14784.0
CRETEIL POMPADOUR,0.33674924450847465,0.5918284936037252,14884.0
PONT-CARDINET,0.33700712274844447,0.6184510497288167,14106.0
VILLEJUIF-LEO LAGRANGE,0.3370175325796426,0.5974114333707061,14884.0
VILLIERS-SUR-MARNE-PLESSIS-TREVISE,0.3373574188079123,0.594581421063016,14858.0
SAVIGNY-LE-TEMPLE-NANDY,0.3377109710371632,0.5872317135196475,14870.0
GARGES-SARCELLES,0.33776346881227,0.570253827814618,14518.0
BARBES-ROCHECHOUART,0.33830230326127325,0.6120980522727565,16255.0
NANTERRE-VILLE,0.33837024786880215,0.6102883187401624,15488.0
NOGENT-LE-PERREUX,0.33839989147144883,0.5806896331222673,14784.0
KLEBER,0.3384053950258836,0.5853598591722285,14884.0
MIRABEAU,0.3386799474707397,0.6063273661464418,14730.0
VILLETANEUSE U,0.3387751521874368,0.6459086627877973,14784.0
NANTERRE-UNIVERSITE,0.33891843190154924,0.6335470126735084,15487.0
AVENUE EMILE ZOLA,0.3390227438502533,0.5937149734658778,14700.0
SAINT-MARCEL,0.3390761352436469,0.6429323192928004,14694.0
BOURG-LA-REINE,0.33943775455926967,0.6072388336301539,15576.0
ARGENTINE,0.3396031681938699,0.6483923758999109,14651.0
FILLES DU CALVAIRE,0.3400204090658641,0.5812377215358953,14742.0
SAINT-MICHEL NOTRE DAME,0.340066868373543,0.5701509786112311,16864.0
PLACE DE CLICHY,0.34028534379286196,0.6246120219667075,16280.0
ESPLANADE DE LA DEFENSE,0.3404136969845622,0.6239309464287703,14736.0
COURCELLES,0.34044092016917915,0.6283329778548778,14884.0
JUSSIEU,0.34052832311381653,0.6160628965227812,14863.0
PONT DE LEVALLOIS-BECON,0.34114387944197816,0.6795807739485498,14884.0
LE PARC-DE-SAINT-MAUR,0.34115331383822106,0.6130253563649218,15085.0
MAISONS-ALFORT-STADE,0.3414180025779771,0.580197253581201,14863.0
VILLEJUIF-PAUL VAILLANT-COUTURIER,0.3415343111575257,0.6105083815773928,14884.0
BOBIGNY-PANTIN (RAYMOND QUENEAU),0.3416041670706268,0.6146534043859773,14884.0
EPINAY-SUR-SEINE,0.34196456538552217,0.5666752085640337,13347.0
WAGRAM,0.3423349256921551,0.6402720198403583,14820.0
BLANC-MESNIL,0.34274777067541196,0.5187268711887024,14637.0
JAVEL,0.3430164607483287,0.5933857507913329,14784.0
SEGUR,0.3435802061292373,0.6127536074601281,14784.0
ATHIS-MONS,0.34359651627249116,0.5893670646359451,13376.0
NATION,0.3436188805581191,0.6186264033544835,16896.0
FONTAINE-MICHALON,0.34372388598652165,0.6097121169120584,14385.0
ETAMPES,0.34413564212653436,0.5612380556510714,14133.0
MARCEL SEMBAT,0.344519261595145,0.6122942759652432,15344.0
EXELMANS,0.34458018066453333,0.6015682394922806,14820.0
RANELAGH,0.3446466503248765,0.617553898032532,14763.0
CHATEAU D'EAU,0.34472528976879746,0.6138818974760136,14800.0
MAISONS-ALFORT-ALFORTVILLE,0.3447524925857146,0.6046954480633235,15860.0
PETIT VAUX T12,0.34475754456904595,0.4607436827994348,1057.0
MABILLON,0.34479607461471096,0.589730565271546,14884.0
VERT-GALANT,0.3453624286768608,0.5932892242789924,14989.0
ORLY VILLE,0.34561579684531996,0.6027668371823466,13576.0
FONTENAY-AUX-ROSES,0.34588203430525327,0.6153516301095265,15466.0
SAINT-AUGUSTIN,0.34591096168985547,0.6490817059044212,14870.0
BURES-SUR-YVETTE,0.34612033529288544,0.6125721689669319,14080.0
LA GARENNE-COLOMBES,0.3470314039912806,0.6294128848543942,14884.0
MONTIGNY-BEAUCHAMP,0.3470637456401922,0.6206951814543918,14784.0
NEUILLY-PLAISANCE,0.34710352912112147,0.6337598895617205,15488.0
BOISSY-SAINT-LEGER,0.3472844998439719,0.6420432737455678,15488.0
VILLEJUIF-LOUIS ARAGON,0.34731740122088633,0.603084821444373,15332.0
RICHELIEU-DROUOT,0.3476629842183152,0.6273306571380229,14883.0
JACQUES BONSERGENT,0.34778156010857264,0.6079894643904169,15275.0
DOMONT,0.34790807059370443,0.6248230090757662,14080.0
BIBLIOTHEQUE FRANCOIS MITTERRAND,0.3481487682051233,0.6394806729304102,16860.0
MICHEL-ANGE-AUTEUIL,0.34815330146032997,0.6307928196671824,14884.0
LES SABLONS (JARDIN D'ACCLIMATATION),0.3482769194760492,0.632119924558183,15366.0
VIRY-CHATILLON,0.34834130419252707,0.5771536625673819,14368.0
BOULOGNE-PONT DE SAINT CLOUD,0.3484774100493458,0.5967006506541436,14884.0
LAPLACE,0.3484931513722235,0.6195458894208177,15438.0
ECOLE MILITAIRE,0.34864311379135743,0.590456523321955,14884.0
BILLANCOURT,0.34888854573327543,0.6164106178802853,14884.0
LA COURNEUVE 8 MAI 1945,0.3492759371832953,0.6029844722423641,15244.0
SAINT-PAUL (LE MARAIS),0.3494487263794363,0.6029132506867165,14884.0
ENGHIEN-LES-BAINS,0.34953765966738204,0.6194091758407971,14872.0
NOISY-CHAMPS,0.34980594769323703,0.6741388971223519,15488.0
SAINT-SULPICE,0.3500486272784384,0.6111206066161313,14757.0
YERRES,0.3504207255253943,0.6343142689563882,14784.0
NOTRE-DAME-DE-LORETTE,0.35183258818065577,0.6231628706734297,14827.0
NOISY-LE-GRAND-MONT D'EST,0.353118512633386,0.6556400156447884,15488.0
LES VALLEES,0.3533516646792041,0.6239678476599088,14537.0
PONTOISE,0.35388518303941213,0.6137279841708535,15488.0
PALAISEAU,0.35403496583017996,0.6313633680122697,14166.0
EPINAY-VILLETANEUSE,0.3543209862226317,0.6094948712763743,14884.0
AUBERGENVILLE-ELISABETHVILLE,0.3544447584342279,0.5720801991452227,13418.0
LOUVRES,0.35452075048370657,0.6099302353437036,13305.0
GARE DE L'EST,0.35480813029397684,0.6263495359435938,16873.0
VILLEPINTE,0.3548985437299833,0.5628985903378597,13963.0
BOBIGNY-PABLO PICASSO,0.3549428419218897,0.715704798492096,15576.0
INVALIDES,0.35502749708413467,0.5717610278586677,16121.0
PIERREFITTE-STAINS,0.35508465951903784,0.6255910509212431,14897.0
GEORGE V,0.35564839858702235,0.6143491908639088,14953.0
SAINT-PHILIPPE-DU-ROULE,0.3556826312648928,0.6666479525318316,14742.0
MASSY-VERRIERES,0.35609824724744354,0.6166801010084407,13788.0
BLANCHE,0.3562613407953796,0.5958462895495006,15032.0
ALMA-MARCEAU,0.35660959706319045,0.6095603617065074,14751.0
VIROFLAY RIVE GAUCHE,0.35666494059519943,0.6463597699595185,14684.0
CHAUSSEE D'ANTIN (LA FAYETTE),0.356712196595432,0.6003797468798291,14848.0
FELIX FAURE,0.3568076025987792,0.6162361906111729,14799.0
LE BOURGET,0.35682048254577314,0.6385883388536857,15644.0
LE BRAS-DE-FER,0.35693121772658815,0.6506169679057264,14080.0
LUXEMBOURG,0.35711722186582734,0.6436642437641414,15424.0
TRINITE-D'ESTIENNE D'ORVES,0.35745722147234865,0.5908347734170253,14784.0
FALGUIERE,0.35757869886756644,0.6409900266300552,14800.0
PONT-MARIE (CITE DES ARTS),0.3579246997007477,0.5878277287953443,14637.0
PETIT-VAUX,0.3579766173617721,0.5311746898656189,9895.0
SAINT-MICHEL,0.35808541530975274,0.6079099847869109,16304.0
ROSA PARKS,0.3583103783475404,0.6441940524793486,14724.0
ORSAY-VILLE,0.358527775877645,0.6400085961772818,14784.0
AVENUE HENRI MARTIN,0.35853675843625576,0.6402149512670444,12949.0
SAINT-FARGEAU,0.3586268635486166,0.6105469093075648,14177.0
SAINT-OUEN-L'AUMONE,0.35891463534956397,0.5994383002108377,14093.0
PLACE MONGE (JARDIN DES PLANTES),0.35944644496573286,0.5849722874659934,14884.0
PARC DES EXPOSITIONS,0.3595220315613708,0.6365122844521122,14136.0
MEUDON-VAL-FLEURY,0.3598174615281194,0.6289427759131709,12781.0
GENTILLY,0.359961625107585,0.6041282295439376,15488.0
BOURSE,0.3601606333127388,0.6522134272888425,14398.0
SAINT-CYR,0.36037268466696737,0.5875837652944456,14684.0
LIEGE,0.3605564009215675,0.6644096111880992,14784.0
SARCELLES-SAINT-BRICE,0.36073148120873827,0.6476375735424658,14747.0
EMERAINVILLE-PONTAULT-COMBAULT,0.36098620785136165,0.6255677302608246,14180.0
ERMONT-EAUBONNE,0.3614250229530794,0.6339352942401907,15501.0
BONNE NOUVELLE,0.36168797187510054,0.5746273162555882,14949.0
STADE DE FRANCE-SAINT-DENIS,0.36211904232388187,0.6817083910294954,15322.0
VANEAU,0.36217678988991164,0.6254071234018322,14884.0
HAUSSMANN-SAINT-LAZARE,0.36225975717470593,0.6407093996581944,15474.0
LA MOTTE-PICQUET-GRENELLE,0.36243817381360527,0.6443624555609618,15618.0
FONTENAY-SOUS-BOIS,0.3624749118707908,0.633751296994804,15388.0
SAVIGNY-SUR-ORGE,0.3625176757230426,0.662265925276953,14280.0
ISSY-VAL DE SEINE,0.36252156988642464,0.6579218639580975,14511.0
PIERRE CURIE,0.36267661649464195,0.626298175960371,14784.0
MONTPARNASSE,0.36286621124749163,0.5857767311131395,16896.0
PICPUS,0.36316348795402376,0.6340290261738023,14763.0
MONTGALLET,0.36334515254726873,0.6116796388107795,14714.0
LA TOUR MAUBOURG,0.3634546717774328,0.61095562603972,14884.0
PONT DE L'ALMA,0.3636868724651742,0.5989421793183756,13655.0
CERNAY,0.3637285730089375,0.6508170949178448,14180.0
LES MUREAUX,0.36386917474020697,0.5939035916687987,14067.0
CONFLANS-FIN-D'OISE,0.3639276332501173,0.6314002092304568,15488.0
Lisi̬re Pereire T13,0.36393142748082496,0.5564875789306916,12455.0
POISSY,0.3642484831633306,0.6570273761098485,15488.0
AULNAY-SOUS-BOIS,0.36424908208098117,0.6590849671594776,15501.0
VINCENNES,0.36428325010981244,0.6547419106821749,15650.0
HOTEL DE VILLE,0.36440934245238904,0.6043361460972894,15488.0
LES SAULES,0.36456811284564133,0.607968166192095,13498.0
RUE DU BAC,0.36477954873275875,0.6426285528756435,14763.0
EUROPE,0.36543699014274067,0.6726497320673535,14884.0
M. MONTROUGE,0.36544226784749817,0.6459202886314309,16039.0
EGLISE DE PANTIN,0.365451732738196,0.6452479571007022,15388.0
REAUMUR-SEBASTOPOL,0.3654857899708248,0.6264898065093327,14520.0
